"campaign","identifier","cell","block","estimator","metric","tau","value","mc_se","wilson_lo","wilson_hi","n","commit"
"mddina","dina","md40 n500","Hc","fld_s","bound_q50",,47.717803,,,,1996,"1856c107"
"mddina","dina","md40 n500","Hc","fld_s","bound_q75",,56.166365,,,,1996,"1856c107"
"mddina","dina","md40 n500","Hc","fld_s","bound_q95",,69.238878,,,,1996,"1856c107"
"mddina","dina","md40 n500","Hc","oracle","share_upper_le_tau",0,0.001002004,0.000708169,0.000274829,0.00364621,1996,"1856c107"
"mddina","dina","md40 n500","Hc","oracle","share_upper_le_tau",10,0.005511022,0.00165705,0.00308006,0.00984169,1996,"1856c107"
"mddina","dina","md40 n500","Hc","oracle","share_upper_le_tau",20,0.019539078,0.00309804,0.014326,0.026598,1996,"1856c107"
"mddina","dina","md40 n500","Hc","oracle","share_upper_le_tau",30,0.078657315,0.00602559,0.0676403,0.091293,1996,"1856c107"
"mddina","dina","md40 n500","Hc","oracle","share_upper_le_tau",40,0.25150301,0.0097115,0.232958,0.271002,1996,"1856c107"
"mddina","dina","md40 n500","Hc","oracle","share_upper_le_tau",60,0.75801603,0.00958633,0.738743,0.776298,1996,"1856c107"
"mddina","dina","md40 n500","Hc","oracle","share_upper_le_tau",80,0.98446894,0.00276771,0.97804,0.989037,1996,"1856c107"
"mddina","dina","md40 n500","Hc","oracle","share_upper_le_tau",100,1,0,0.998079,1,1996,"1856c107"
"mddina","dina","md40 n500","Hc","oracle","bound_mean",,49.739221,0.321326,,,1996,"1856c107"
"mddina","dina","md40 n500","Hc","oracle","bound_q05",,27.14424,,,,1996,"1856c107"
"mddina","dina","md40 n500","Hc","oracle","bound_q25",,39.916977,,,,1996,"1856c107"
"mddina","dina","md40 n500","Hc","oracle","bound_q50",,49.97045,,,,1996,"1856c107"
"mddina","dina","md40 n500","Hc","oracle","bound_q75",,59.51705,,,,1996,"1856c107"
"mddina","dina","md40 n500","Hc","oracle","bound_q95",,72.540958,,,,1996,"1856c107"
"mddina","dina","md40 n500","Hc","fld","share_upper_le_tau",0,0,0,0,0.00192088,1996,"1856c107"
"mddina","dina","md40 n500","Hc","fld","share_upper_le_tau",10,0.0070140281,0.00186799,0.00418272,0.0117393,1996,"1856c107"
"mddina","dina","md40 n500","Hc","fld","share_upper_le_tau",20,0.025551102,0.00353186,0.019487,0.0334379,1996,"1856c107"
"mddina","dina","md40 n500","Hc","fld","share_upper_le_tau",30,0.095691383,0.00658437,0.0835519,0.109384,1996,"1856c107"
"mddina","dina","md40 n500","Hc","fld","share_upper_le_tau",40,0.2750501,0.00999493,0.255907,0.295058,1996,"1856c107"
"mddina","dina","md40 n500","Hc","fld","share_upper_le_tau",60,0.83016032,0.00840466,0.813057,0.845995,1996,"1856c107"
"mddina","dina","md40 n500","Hc","fld","share_upper_le_tau",80,0.99599198,0.00141421,0.992111,0.997968,1996,"1856c107"
"mddina","dina","md40 n500","Hc","fld","share_upper_le_tau",100,1,0,0.998079,1,1996,"1856c107"
"mddina","dina","md40 n500","Hc","fld","bound_mean",,47.418397,0.299414,,,1996,"1856c107"
"mddina","dina","md40 n500","Hc","fld","bound_q05",,25.052096,,,,1996,"1856c107"
"mddina","dina","md40 n500","Hc","fld","bound_q25",,38.85437,,,,1996,"1856c107"
"mddina","dina","md40 n500","Hc","fld","bound_q50",,47.66395,,,,1996,"1856c107"
"mddina","dina","md40 n500","Hc","fld","bound_q75",,56.585147,,,,1996,"1856c107"
"mddina","dina","md40 n500","Hc","fld","bound_q95",,69.51617,,,,1996,"1856c107"
"mddina","dina","md40 n500","Hc","mr","share_upper_le_tau",0,0,0,0,0.00192088,1996,"1856c107"
"mddina","dina","md40 n500","Hc","mr","share_upper_le_tau",10,0,0,0,0.00192088,1996,"1856c107"
"mddina","dina","md40 n500","Hc","mr","share_upper_le_tau",20,0,0,0,0.00192088,1996,"1856c107"
"mddina","dina","md40 n500","Hc","mr","share_upper_le_tau",30,0.0070140281,0.00186799,0.00418272,0.0117393,1996,"1856c107"
"mddina","dina","md40 n500","Hc","mr","share_upper_le_tau",40,0.03256513,0.00397289,0.0256321,0.0412939,1996,"1856c107"
"mddina","dina","md40 n500","Hc","mr","share_upper_le_tau",60,0.39178357,0.0109263,0.370596,0.413387,1996,"1856c107"
"mddina","dina","md40 n500","Hc","mr","share_upper_le_tau",80,0.9003006,0.00670594,0.886378,0.912685,1996,"1856c107"
"mddina","dina","md40 n500","Hc","mr","share_upper_le_tau",100,0.999499,0.000500876,0.997167,0.999912,1996,"1856c107"
"mddina","dina","md40 n500","Hc","mr","bound_mean",,63.408692,0.283032,,,1996,"1856c107"
"mddina","dina","md40 n500","Hc","mr","bound_q05",,42.754034,,,,1996,"1856c107"
"mddina","dina","md40 n500","Hc","mr","bound_q25",,55.135325,,,,1996,"1856c107"
"mddina","dina","md40 n500","Hc","mr","bound_q50",,63.723743,,,,1996,"1856c107"
"mddina","dina","md40 n500","Hc","mr","bound_q75",,71.527801,,,,1996,"1856c107"
"mddina","dina","md40 n500","Hc","mr","bound_q95",,84.643222,,,,1996,"1856c107"
"mddina","dina","md40 n500","Hc","naive","share_upper_le_tau",0,0.001503006,0.000867109,0.000511286,0.00440983,1996,"1856c107"
"mddina","dina","md40 n500","Hc","naive","share_upper_le_tau",10,0.019539078,0.00309804,0.014326,0.026598,1996,"1856c107"
"mddina","dina","md40 n500","Hc","naive","share_upper_le_tau",20,0.092184369,0.00647511,0.0802648,0.105671,1996,"1856c107"
"mddina","dina","md40 n500","Hc","naive","share_upper_le_tau",30,0.31813627,0.010425,0.29807,0.338902,1996,"1856c107"
"mddina","dina","md40 n500","Hc","naive","share_upper_le_tau",40,0.65831663,0.0106157,0.637224,0.678801,1996,"1856c107"
"mddina","dina","md40 n500","Hc","naive","share_upper_le_tau",60,0.98446894,0.00276771,0.97804,0.989037,1996,"1856c107"
"mddina","dina","md40 n500","Hc","naive","share_upper_le_tau",80,1,0,0.998079,1,1996,"1856c107"
"mddina","dina","md40 n500","Hc","naive","share_upper_le_tau",100,1,0,0.998079,1,1996,"1856c107"
"mddina","dina","md40 n500","Hc","naive","bound_mean",,35.501292,0.263316,,,1996,"1856c107"
"mddina","dina","md40 n500","Hc","naive","bound_q05",,16.079673,,,,1996,"1856c107"
"mddina","dina","md40 n500","Hc","naive","bound_q25",,27.806458,,,,1996,"1856c107"
"mddina","dina","md40 n500","Hc","naive","bound_q50",,35.551006,,,,1996,"1856c107"
"mddina","dina","md40 n500","Hc","naive","bound_q75",,43.258044,,,,1996,"1856c107"
"mddina","dina","md40 n500","Hc","naive","bound_q95",,55.794427,,,,1996,"1856c107"
"mddina","dina","md40 n500","joint","bonf_s","joint_coverage",,0.91432866,0.00626453,0.901241,0.925825,1996,"1856c107"
"mddina","dina","md40 n500","joint","bonf_s","share_both_bounds",,1,0,0.998079,1,1996,"1856c107"
"mddina","dina","md40 n500","joint","bonf_s","cov_H",,0.97194389,0.00369619,0.963743,0.978331,1996,"1856c107"
"mddina","dina","md40 n500","joint","bonf_s","cov_Hc",,0.94088176,0.00527896,0.929664,0.950406,1996,"1856c107"
"mddina","dina","md40 n500","joint","bonf_s","margin_H_md",,59.102597,0.09726,,,1996,"1856c107"
"mddina","dina","md40 n500","joint","bonf_s","margin_Hc_md",,27.391582,0.0480114,,,1996,"1856c107"
"mddina","dina","md40 n500","joint","bonf","joint_coverage",,0.91082164,0.0063792,0.897517,0.922548,1996,"1856c107"
"mddina","dina","md40 n500","joint","bonf","share_both_bounds",,1,0,0.998079,1,1996,"1856c107"
"mddina","dina","md40 n500","joint","bonf","cov_H",,0.97194389,0.00369619,0.963743,0.978331,1996,"1856c107"
"mddina","dina","md40 n500","joint","bonf","cov_Hc",,0.93737475,0.00542314,0.925882,0.947187,1996,"1856c107"
"mddina","dina","md40 n500","joint","bonf","margin_H_md",,59.102597,0.09726,,,1996,"1856c107"
"mddina","dina","md40 n500","joint","bonf","margin_Hc_md",,27.390198,0.0385962,,,1996,"1856c107"
"mddina","dina","md40 n500","joint","separate_s","joint_coverage",,0.84018036,0.00820202,0.823453,0.8556,1996,"1856c107"
"mddina","dina","md40 n500","joint","separate_s","share_both_bounds",,1,0,0.998079,1,1996,"1856c107"
"mddina","dina","md40 n500","joint","separate_s","cov_H",,0.93737475,0.00542314,0.925882,0.947187,1996,"1856c107"
