"sim","seed","errored","error_msg","any.H","size.H","sg.def","p.cens","n_candidates_total","n_passed","hr.itt","warnings","seconds"
217,8317168,FALSE,NA,0,0,"",0.568513119533528,63,0,0.628391967861764,"",4.097
218,8317169,FALSE,NA,0,0,"",0.521865889212828,7,0,0.604855334682472,"",3.661
219,8317170,FALSE,NA,0,0,"",0.578717201166181,26,0,0.614027239168644,"",3.43
220,8317171,FALSE,NA,0,0,"",0.567055393586006,7,0,0.633241484533981,"",3.587
221,8317172,FALSE,NA,1,78,"!{meno} & !{pgr <= 120}",0.568513119533528,340,11,0.83238115774542,"",6.342
222,8317173,FALSE,NA,0,0,"",0.565597667638484,27,0,0.625411587471408,"",3.856
223,8317174,FALSE,NA,0,0,"",0.578717201166181,50,0,0.693560173749548,"",3.944
224,8317175,FALSE,NA,0,0,"",0.574344023323615,29,0,0.563433430959606,"",3.787
225,8317176,FALSE,NA,0,0,"",0.567055393586006,24,0,0.607540407896982,"",4.039
226,8317177,FALSE,NA,0,0,"",0.599125364431487,46,0,0.64105499751215,"",3.348
227,8317178,FALSE,NA,0,0,"",0.574344023323615,99,0,0.693633508010112,"",4.233
228,8317179,FALSE,NA,0,0,"",0.572886297376093,22,0,0.5831113162737,"",3.685
229,8317180,FALSE,NA,0,0,"",0.555393586005831,45,0,0.702551828273777,"",3.592
230,8317181,FALSE,NA,0,0,"",0.564139941690962,14,0,0.670884667091199,"",3.58
231,8317182,FALSE,NA,0,0,"",0.564139941690962,29,0,0.66731561480448,"",3.76299999999999
232,8317183,FALSE,NA,0,0,"",0.584548104956268,98,0,0.769971051174383,"",4.226
233,8317184,FALSE,NA,1,77,"!{age <= 62} & !{size <= 25}",0.571428571428571,94,3,0.629455966913067,"",4.33199999999999
234,8317185,FALSE,NA,0,0,"",0.596209912536443,62,0,0.700424084134049,"",4.25399999999999
235,8317186,FALSE,NA,0,0,"",0.568513119533528,182,0,0.771203404187911,"",5.047
236,8317187,FALSE,NA,0,0,"",0.587463556851312,2,0,0.551793210102939,"",3.375
237,8317188,FALSE,NA,0,0,"",0.587463556851312,49,0,0.62845704164525,"",3.95099999999999
238,8317189,FALSE,NA,0,0,"",0.596209912536443,84,0,0.634325332318846,"",4.52
239,8317190,FALSE,NA,0,0,"",0.591836734693878,25,0,0.669776485314183,"",4.005
240,8317191,FALSE,NA,0,0,"",0.600583090379009,18,0,0.565306161902951,"",3.815
241,8317192,FALSE,NA,0,0,"",0.583090379008746,76,0,0.742437345913983,"",4.32299999999999
242,8317193,FALSE,NA,0,0,"",0.622448979591837,7,0,0.602762801440833,"",3.682
243,8317194,FALSE,NA,1,123,"!{er <= 15} & {er <= 43}",0.575801749271137,125,1,0.732182055087505,"",4.839
244,8317195,FALSE,NA,0,0,"",0.603498542274052,72,0,0.680741098431198,"",4.02499999999999
245,8317196,FALSE,NA,0,0,"",0.559766763848397,25,0,0.594096812604061,"",3.91099999999999
246,8317197,FALSE,NA,1,77,"{size <= 20} & !{age <= 53}",0.597667638483965,519,32,0.939847469633509,"",7.93900000000002
247,8317198,FALSE,NA,1,86,"{er <= 9} & !{pgr <= 2}",0.565597667638484,128,1,0.654297397878967,"",4.93600000000001
248,8317199,FALSE,NA,1,105,"!{pgr <= 104} & !{er <= 91}",0.615160349854227,75,1,0.585691974270301,"",4.303
249,8317200,FALSE,NA,0,0,"",0.584548104956268,60,0,0.757505110567295,"",4.107
250,8317201,FALSE,NA,0,0,"",0.553935860058309,52,0,0.658383308641867,"",4.00199999999998
251,8317202,FALSE,NA,0,0,"",0.580174927113703,69,0,0.668073744852501,"",4.04500000000002
252,8317203,FALSE,NA,1,90,"{er <= 167} & !{age <= 61}",0.578717201166181,186,1,0.853741096853018,"",5.16000000000003
253,8317204,FALSE,NA,0,0,"",0.549562682215743,16,0,0.637398642260526,"",3.768
254,8317205,FALSE,NA,0,0,"",0.574344023323615,32,0,0.711796178773191,"",4.03700000000001
255,8317206,FALSE,NA,0,0,"",0.571428571428571,140,0,0.814170730929146,"",4.523
256,8317207,FALSE,NA,0,0,"",0.569970845481049,92,0,0.803623675101814,"",4.202
257,8317208,FALSE,NA,1,134,"!{pgr <= 64} & {age <= 53}",0.584548104956268,158,6,0.779477326999959,"",4.965
258,8317209,FALSE,NA,0,0,"",0.569970845481049,69,0,0.655896478372503,"",4.03100000000001
259,8317210,FALSE,NA,0,0,"",0.597667638483965,41,0,0.681151442383126,"",3.58500000000001
260,8317211,FALSE,NA,0,0,"",0.56268221574344,62,0,0.699253812688931,"",4.02000000000001
261,8317212,FALSE,NA,1,113,"{size <= 20} & !{pgr <= 26}",0.590379008746356,78,1,0.705048904364071,"",3.96099999999998
262,8317213,FALSE,NA,0,0,"",0.612244897959184,79,0,0.691294260038031,"",4.44399999999999
263,8317214,FALSE,NA,0,0,"",0.575801749271137,81,0,0.762947490021444,"",4.114
264,8317215,FALSE,NA,1,105,"!{meno} & !{age <= 46}",0.590379008746356,173,2,0.80889048453879,"",5.05199999999999
265,8317216,FALSE,NA,0,0,"",0.587463556851312,62,0,0.644257205757677,"",3.58100000000002
266,8317217,FALSE,NA,1,123,"{pgr <= 6} & !{age <= 46}",0.564139941690962,129,2,0.738374919206044,"",4.38200000000001
267,8317218,FALSE,NA,0,0,"",0.581632653061224,2,0,0.532704234306454,"",3.66300000000001
268,8317219,FALSE,NA,0,0,"",0.574344023323615,79,0,0.754057487173022,"",4.06199999999998
269,8317220,FALSE,NA,1,83,"!{er <= 93} & !{nodes <= 3}",0.553935860058309,125,1,0.746553140585128,"",4.55600000000001
270,8317221,FALSE,NA,0,0,"",0.529154518950437,27,0,0.61682767198255,"",3.821
271,8317222,FALSE,NA,0,0,"",0.574344023323615,25,0,0.564493438369293,"",3.447
272,8317223,FALSE,NA,0,0,"",0.552478134110787,83,0,0.704721342110514,"",4.083
273,8317224,FALSE,NA,0,0,"",0.574344023323615,41,0,0.691546822295802,"",3.90300000000002
274,8317225,FALSE,NA,0,0,"",0.580174927113703,34,0,0.610351395341825,"",3.822
275,8317226,FALSE,NA,0,0,"",0.588921282798834,49,0,0.578360950607723,"",3.63700000000003
276,8317227,FALSE,NA,0,0,"",0.578717201166181,53,0,0.642435024631405,"",3.95100000000002
277,8317228,FALSE,NA,1,69,"{age <= 46} & !{er <= 24}",0.56268221574344,66,1,0.681292105808015,"",3.90699999999998
278,8317229,FALSE,NA,0,0,"",0.58600583090379,20,0,0.669852138485285,"",3.40300000000002
279,8317230,FALSE,NA,0,0,"",0.565597667638484,57,0,0.674166431308135,"",4.17500000000001
280,8317231,FALSE,NA,1,76,"!{nodes <= 6} & !{er <= 31}",0.571428571428571,169,3,0.757896475980008,"",5.12700000000001
281,8317232,FALSE,NA,0,0,"",0.572886297376093,49,0,0.691964597991553,"",3.74399999999997
282,8317233,FALSE,NA,1,90,"{size <= 20} & !{er <= 47}",0.577259475218659,96,1,0.731764325263288,"",3.77100000000002
283,8317234,FALSE,NA,0,0,"",0.584548104956268,13,0,0.584419241532925,"",3.48699999999997
284,8317235,FALSE,NA,0,0,"",0.584548104956268,14,0,0.617855516461967,"",3.28299999999996
285,8317236,FALSE,NA,1,62,"!{size <= 35} & !{er <= 42}",0.555393586005831,81,1,0.769137462477459,"",4.21100000000001
286,8317237,FALSE,NA,0,0,"",0.553935860058309,17,0,0.712690044097568,"",3.58699999999999
287,8317238,FALSE,NA,0,0,"",0.537900874635568,48,0,0.676816163728789,"",4.711
288,8317239,FALSE,NA,0,0,"",0.593294460641399,8,0,0.516475200437798,"",3.34
289,8317240,FALSE,NA,1,170,"!{age <= 53} & {er <= 67}",0.590379008746356,254,8,0.83606717759856,"",5.912
290,8317241,FALSE,NA,0,0,"",0.591836734693878,13,0,0.640903490089403,"",3.644
291,8317242,FALSE,NA,1,143,"!{age <= 61} & {pgr <= 322}",0.571428571428571,166,6,0.790279533484936,"",5.095
292,8317243,FALSE,NA,0,0,"",0.558309037900875,43,0,0.698146032641201,"",3.817
293,8317244,FALSE,NA,0,0,"",0.567055393586006,15,0,0.617473278709092,"",3.755
294,8317245,FALSE,NA,0,0,"",0.583090379008746,13,0,0.56835897410461,"",3.258
295,8317246,FALSE,NA,1,98,"{nodes <= 4.9} & {pgr <= 8}",0.555393586005831,223,5,0.73988091243603,"",5.592
296,8317247,FALSE,NA,0,0,"",0.569970845481049,39,0,0.644949909599608,"",4.055
297,8317248,FALSE,NA,0,0,"",0.540816326530612,21,0,0.726441851513796,"",3.965
298,8317249,FALSE,NA,1,77,"!{nodes <= 3} & !{age <= 61}",0.575801749271137,18,1,0.617926300720483,"",3.376
299,8317250,FALSE,NA,0,0,"",0.574344023323615,15,0,0.63471915011186,"",3.58
300,8317251,FALSE,NA,0,0,"",0.610787172011662,32,0,0.699409176418611,"",3.718
301,8317252,FALSE,NA,1,71,"{size <= 29} & {er <= 3}",0.542274052478134,250,3,0.874472011776411,"",5.99
302,8317253,FALSE,NA,0,0,"",0.565597667638484,71,0,0.691764347655623,"",3.5
303,8317254,FALSE,NA,1,108,"{pgr <= 27} & !{er <= 20}",0.556851311953353,159,3,0.740512963904157,"",4.863
304,8317255,FALSE,NA,0,0,"",0.567055393586006,81,0,0.701193614634366,"",4.53100000000001
305,8317256,FALSE,NA,0,0,"",0.584548104956268,178,0,0.791430891755689,"",5.11499999999999
306,8317257,FALSE,NA,1,108,"{age <= 61} & !{er <= 89}",0.56268221574344,404,9,0.873909827372427,"",7.58499999999999
307,8317258,FALSE,NA,0,0,"",0.578717201166181,102,0,0.765996647703486,"",4.08799999999999
308,8317259,FALSE,NA,0,0,"",0.597667638483965,12,0,0.643529770958168,"",3.57400000000001
309,8317260,FALSE,NA,0,0,"",0.572886297376093,38,0,0.68031935758793,"",3.858
310,8317261,FALSE,NA,0,0,"",0.588921282798834,164,0,0.85395627667843,"",5.303
311,8317262,FALSE,NA,0,0,"",0.567055393586006,116,0,0.771369585859599,"",4.58
312,8317263,FALSE,NA,1,83,"{meno} & {pgr <= 2}",0.602040816326531,369,17,0.882859514206856,"",6.74799999999999
313,8317264,FALSE,NA,1,109,"{size <= 29.5} & !{pgr <= 115}",0.552478134110787,176,3,0.749264938212437,"",5.49000000000001
314,8317265,FALSE,NA,1,61,"!{pgr <= 45} & {pgr <= 66}",0.542274052478134,62,1,0.750527332501434,"",3.94499999999999
315,8317266,FALSE,NA,0,0,"",0.594752186588921,140,0,0.760626718370322,"",4.672
316,8317267,FALSE,NA,0,0,"",0.556851311953353,11,0,0.598376948875815,"",3.571
317,8317268,FALSE,NA,0,0,"",0.583090379008746,21,0,0.687420558911968,"",3.66300000000001
318,8317269,FALSE,NA,0,0,"",0.581632653061224,13,0,0.607237130225752,"",3.76300000000001
319,8317270,FALSE,NA,0,0,"",0.580174927113703,45,0,0.731865173515552,"",3.84400000000002
320,8317271,FALSE,NA,1,64,"!{nodes <= 7} & {er <= 16}",0.575801749271137,123,1,0.738539661621075,"",4.423
321,8317272,FALSE,NA,0,0,"",0.580174927113703,182,0,0.751329691718226,"",5.35600000000002
322,8317273,FALSE,NA,1,61,"{er <= 0} & !{age <= 46}",0.580174927113703,55,1,0.650844456273341,"",3.697
323,8317274,FALSE,NA,0,0,"",0.597667638483965,4,0,0.574625852922479,"",3.48599999999999
324,8317275,FALSE,NA,0,0,"",0.556851311953353,26,0,0.625414821408735,"",3.92700000000002
325,8317276,FALSE,NA,0,0,"",0.574344023323615,13,0,0.609989672789284,"",3.82900000000001
326,8317277,FALSE,NA,0,0,"",0.568513119533528,92,0,0.722444495645128,"",4.16900000000001
327,8317278,FALSE,NA,0,0,"",0.567055393586006,184,0,0.859120403038415,"",4.935
328,8317279,FALSE,NA,1,71,"!{age <= 62} & !{nodes <= 3}",0.606413994169096,59,1,0.68960060165183,"",4.01100000000002
329,8317280,FALSE,NA,0,0,"",0.533527696793003,60,0,0.702039822753669,"",3.81100000000001
330,8317281,FALSE,NA,0,0,"",0.56268221574344,43,0,0.71222084342314,"",3.839
331,8317282,FALSE,NA,0,0,"",0.574344023323615,91,0,0.794182429563261,"",4.40600000000001
332,8317283,FALSE,NA,1,136,"!{age <= 61} & {pgr <= 349}",0.571428571428571,365,13,0.905070975507379,"",6.738
333,8317284,FALSE,NA,0,0,"",0.558309037900875,19,0,0.597054831139907,"",3.56799999999998
334,8317285,FALSE,NA,0,0,"",0.591836734693878,14,0,0.56197449110236,"",3.416
335,8317286,FALSE,NA,0,0,"",0.543731778425656,8,0,0.624888259000791,"",3.94300000000001
336,8317287,FALSE,NA,0,0,"",0.552478134110787,45,0,0.635296622745461,"",3.80499999999998
337,8317288,FALSE,NA,1,124,"!{pgr <= 77} & {pgr <= 187}",0.594752186588921,109,1,0.736937102514433,"",4.30100000000002
338,8317289,FALSE,NA,1,144,"{nodes <= 5} & {size <= 20}",0.581632653061224,427,9,0.901307484008111,"",7.49799999999999
339,8317290,FALSE,NA,1,70,"{age <= 46} & {pgr <= 17}",0.571428571428571,225,1,0.801333000517458,"",5.38900000000001
340,8317291,FALSE,NA,0,0,"",0.584548104956268,203,0,0.790219150330659,"",5.52900000000002
341,8317292,FALSE,NA,0,0,"",0.542274052478134,87,0,0.761366022188564,"",4.352
342,8317293,FALSE,NA,1,105,"!{nodes <= 5} & !{age <= 53}",0.578717201166181,92,4,0.661375004727478,"",4.28200000000001
343,8317294,FALSE,NA,0,0,"",0.593294460641399,206,0,0.821729631843586,"",5.08999999999997
344,8317295,FALSE,NA,1,100,"{grade3} & {pgr <= 15}",0.604956268221574,738,52,0.995037111393861,"",10.375
345,8317296,FALSE,NA,0,0,"",0.584548104956268,53,0,0.680764941017773,"",3.53399999999999
346,8317297,FALSE,NA,1,107,"!{pgr <= 48} & !{size <= 30}",0.558309037900875,141,2,0.780775222600549,"",4.73200000000003
347,8317298,FALSE,NA,0,0,"",0.581632653061224,63,0,0.646901755300683,"",4.11799999999999
348,8317299,FALSE,NA,1,103,"{er <= 41} & !{pgr <= 51}",0.552478134110787,96,8,0.746702402533264,"",4.57299999999998
349,8317300,FALSE,NA,0,0,"",0.583090379008746,21,0,0.552679726091403,"",3.44200000000001
350,8317301,FALSE,NA,0,0,"",0.599125364431487,16,0,0.652826553437881,"",3.45499999999998
351,8317302,FALSE,NA,0,0,"",0.555393586005831,60,0,0.721226738023404,"",3.84900000000005
352,8317303,FALSE,NA,0,0,"",0.584548104956268,69,0,0.715691832805664,"",4.10899999999998
353,8317304,FALSE,NA,1,137,"{pgr <= 7} & !{age <= 47}",0.565597667638484,179,1,0.782009172656052,"",5.05500000000001
354,8317305,FALSE,NA,0,0,"",0.63265306122449,92,0,0.654991268319571,"",4.06799999999998
355,8317306,FALSE,NA,1,91,"{size <= 20} & !{age <= 52}",0.558309037900875,12,1,0.555240885116627,"",3.601
356,8317307,FALSE,NA,0,0,"",0.569970845481049,136,0,0.743756369590108,"",3.97300000000001
357,8317308,FALSE,NA,0,0,"",0.600583090379009,7,0,0.641875123463984,"",2.90600000000001
358,8317309,FALSE,NA,0,0,"",0.587463556851312,65,0,0.688730721369132,"",4.811
359,8317310,FALSE,NA,0,0,"",0.559766763848397,16,0,0.582423000487051,"",3.745
360,8317311,FALSE,NA,1,70,"{meno} & {er <= 3}",0.549562682215743,260,1,0.869031736375543,"",5.633
361,8317312,FALSE,NA,1,72,"!{size <= 35} & !{nodes <= 5}",0.591836734693878,49,1,0.70732819189784,"",4.045
362,8317313,FALSE,NA,1,120,"!{pgr <= 15} & {size <= 20}",0.564139941690962,217,1,0.769646019185204,"",5.345
363,8317314,FALSE,NA,1,217,"!{er <= 49} & {nodes <= 5}",0.581632653061224,526,105,0.913102036395545,"",8.568
364,8317315,FALSE,NA,0,0,"",0.548104956268222,39,0,0.656855777249784,"",3.852
365,8317316,FALSE,NA,1,100,"{age <= 47} & {size <= 29}",0.583090379008746,453,10,0.943401852084386,"",7.123
366,8317317,FALSE,NA,0,0,"",0.612244897959184,10,0,0.577349396725824,"",3.602
367,8317318,FALSE,NA,1,84,"!{age <= 61} & {nodes <= 3}",0.583090379008746,66,1,0.661548962651392,"",3.964
368,8317319,FALSE,NA,0,0,"",0.604956268221574,42,0,0.712117448509112,"",3.916
369,8317320,FALSE,NA,0,0,"",0.584548104956268,38,0,0.624984604690145,"",3.779
370,8317321,FALSE,NA,0,0,"",0.593294460641399,66,0,0.631340076539944,"",3.725
371,8317322,FALSE,NA,0,0,"",0.567055393586006,198,0,0.802958384940271,"",5.12400000000001
372,8317323,FALSE,NA,0,0,"",0.555393586005831,25,0,0.675166944613347,"",3.44500000000001
373,8317324,FALSE,NA,0,0,"",0.551020408163265,20,0,0.651261031951124,"",3.904
374,8317325,FALSE,NA,1,90,"{age <= 47} & !{size <= 29}",0.56268221574344,143,3,0.742749016290506,"",4.532
375,8317326,FALSE,NA,0,0,"",0.581632653061224,10,0,0.561783775761149,"",3.491
376,8317327,FALSE,NA,1,87,"!{nodes <= 1} & !{er <= 173}",0.564139941690962,122,1,0.73376062344612,"",4.30500000000001
