declcal power curve -- declaration rate P(max_T_pre >= k), Wilson 95% intervals, R = 2000 per cell
source: quarto/simulations/gbsg_020/results/declcal_{bnull,inull,power}_*_res_1_2000.rds; generated 2026-09-22 16:33 PDT
fixed k: literal cutoffs on max_T_pre; calibrated: per-replicate cutoff max_T_pre >= Mstar_q{90,95,99}
bnull_same_k: boundary (complete) null rate at the same rule, matched by n (n500 -> A1, n1000 -> A2, n1500 -> A3)

| cell | DGM | n | rule | declaration rate [Wilson 95%] | bnull cell | bnull rate at same rule [Wilson 95%] |
| C2 | planted harm HR 1.5 | 1500 | k = 2.2000 | 0.5690 [0.5472, 0.5906] | A3 | 0.6850 [0.6643, 0.7050] |
| C2 | planted harm HR 1.5 | 1500 | k = 2.4000 | 0.4765 [0.4547, 0.4984] | A3 | 0.5425 [0.5206, 0.5642] |
| C2 | planted harm HR 1.5 | 1500 | k = 2.6000 | 0.3830 [0.3619, 0.4045] | A3 | 0.4015 [0.3802, 0.4232] |
| C2 | planted harm HR 1.5 | 1500 | k = 2.8000 | 0.3105 [0.2906, 0.3311] | A3 | 0.2890 [0.2696, 0.3093] |
| C2 | planted harm HR 1.5 | 1500 | k = 3.0000 | 0.2400 [0.2218, 0.2592] | A3 | 0.1820 [0.1657, 0.1995] |
| C2 | planted harm HR 1.5 | 1500 | k = 3.2000 | 0.1800 [0.1638, 0.1974] | A3 | 0.1110 [0.0980, 0.1255] |
| C2 | planted harm HR 1.5 | 1500 | k = 3.4000 | 0.1280 [0.1141, 0.1434] | A3 | 0.0620 [0.0522, 0.0734] |
| C2 | planted harm HR 1.5 | 1500 | k = 3.6000 | 0.0855 [0.0740, 0.0986] | A3 | 0.0330 [0.0260, 0.0418] |
| C2 | planted harm HR 1.5 | 1500 | cal a=0.10 (Mstar_q90) | 0.1445 [0.1298, 0.1606] | A3 | 0.0840 [0.0726, 0.0970] |
| C2 | planted harm HR 1.5 | 1500 | cal a=0.05 (Mstar_q95) | 0.0935 [0.0815, 0.1071] | A3 | 0.0430 [0.0350, 0.0528] |
| C2 | planted harm HR 1.5 | 1500 | cal a=0.01 (Mstar_q99) | 0.0370 [0.0296, 0.0462] | A3 | 0.0100 [0.0065, 0.0154] |
| C3 | planted harm HR 2.0 | 1000 | k = 1.6449 | 0.9625 [0.9532, 0.9700] | A2 | 0.9425 [0.9314, 0.9519] |
| C3 | planted harm HR 2.0 | 1000 | k = 1.8000 | 0.9440 [0.9330, 0.9533] | A2 | 0.8965 [0.8824, 0.9091] |
| C3 | planted harm HR 2.0 | 1000 | k = 2.0000 | 0.9120 [0.8988, 0.9236] | A2 | 0.8195 [0.8020, 0.8357] |
| C3 | planted harm HR 2.0 | 1000 | k = 2.2000 | 0.8690 [0.8535, 0.8831] | A2 | 0.7070 [0.6867, 0.7265] |
| C3 | planted harm HR 2.0 | 1000 | k = 2.4000 | 0.8175 [0.8000, 0.8338] | A2 | 0.5800 [0.5582, 0.6015] |
| C3 | planted harm HR 2.0 | 1000 | k = 2.6000 | 0.7540 [0.7346, 0.7724] | A2 | 0.4415 [0.4199, 0.4634] |
| C3 | planted harm HR 2.0 | 1000 | k = 2.8000 | 0.6835 [0.6628, 0.7035] | A2 | 0.3080 [0.2882, 0.3286] |
| C3 | planted harm HR 2.0 | 1000 | k = 3.0000 | 0.6035 [0.5819, 0.6247] | A2 | 0.2065 [0.1893, 0.2248] |
| C3 | planted harm HR 2.0 | 1000 | k = 3.2000 | 0.5180 [0.4961, 0.5398] | A2 | 0.1295 [0.1155, 0.1449] |
| C3 | planted harm HR 2.0 | 1000 | k = 3.4000 | 0.4205 [0.3990, 0.4423] | A2 | 0.0740 [0.0633, 0.0863] |
| C3 | planted harm HR 2.0 | 1000 | k = 3.6000 | 0.3475 [0.3269, 0.3686] | A2 | 0.0410 [0.0332, 0.0506] |
| C3 | planted harm HR 2.0 | 1000 | cal a=0.10 (Mstar_q90) | 0.4475 [0.4258, 0.4694] | A2 | 0.0950 [0.0829, 0.1086] |
| C3 | planted harm HR 2.0 | 1000 | cal a=0.05 (Mstar_q95) | 0.3550 [0.3343, 0.3762] | A2 | 0.0490 [0.0404, 0.0594] |
| C3 | planted harm HR 2.0 | 1000 | cal a=0.01 (Mstar_q99) | 0.1910 [0.1744, 0.2088] | A2 | 0.0090 [0.0057, 0.0142] |
