"table","row","col","alpha","c0","cell","design_hr","n","value","count","denominator","source_column","source_payload"
"S5","claim_threshold","implied_pstar_median_of_cell_medians_allcells_alln",0.05,,"B1;B2;B3;B4;B5;B6;C1;C2;C3;C4",,,0.999669872396106,,10,"2*pnorm(kappa_hat_05)-1","declcal_inull_B1_res_1_2000.rds;declcal_inull_B2_res_1_2000.rds;declcal_inull_B3_res_1_2000.rds;declcal_inull_B4_res_1_2000.rds;declcal_inull_B5_res_1_2000.rds;declcal_inull_B6_res_1_2000.rds;declcal_power_C1_res_1_2000.rds;declcal_power_C2_res_1_2000.rds;declcal_power_C3_res_1_2000.rds;declcal_power_C4_res_1_2000.rds"
"S4","calibrated_c070","B1",0.1,"c070","B1","0.657","500",0.024,48,2000,"declared_cal10_c070","declcalc0_inull_B1_res_1_2000.rds"
"S4","calibrated_c070","B2",0.1,"c070","B2","0.657","1000",0.017,34,2000,"declared_cal10_c070","declcalc0_inull_B2_res_1_2000.rds"
"S4","calibrated_c070","B3",0.1,"c070","B3","0.657","1500",0.012,24,2000,"declared_cal10_c070","declcalc0_inull_B3_res_1_2000.rds"
"S4","calibrated_c070","B4",0.1,"c070","B4","0.721","500",0.0705,141,2000,"declared_cal10_c070","declcalc0_inull_B4_res_1_2000.rds"
"S4","calibrated_c070","B5",0.1,"c070","B5","0.721","1000",0.0645,129,2000,"declared_cal10_c070","declcalc0_inull_B5_res_1_2000.rds"
"S4","calibrated_c070","B6",0.1,"c070","B6","0.721","1500",0.0525,105,2000,"declared_cal10_c070","declcalc0_inull_B6_res_1_2000.rds"
"S4","calibrated_c070","max_B",0.1,"c070","B4","0.721","500",0.0705,141,2000,"declared_cal10_c070","declcalc0_inull_B4_res_1_2000.rds"
"S4","calibrated_c070","C1",0.1,"c070","C1","1.5","1000",0.6165,1233,2000,"declared_cal10_c070","declcalc0_power_C1_res_1_2000.rds"
"S4","calibrated_c070","C2",0.1,"c070","C2","1.5","1500",0.8235,1647,2000,"declared_cal10_c070","declcalc0_power_C2_res_1_2000.rds"
"S4","calibrated_c070","C3",0.1,"c070","C3","2","1000",0.9425,1885,2000,"declared_cal10_c070","declcalc0_power_C3_res_1_2000.rds"
"S4","calibrated_c070","C4",0.1,"c070","C4","2","1500",0.9915,1983,2000,"declared_cal10_c070","declcalc0_power_C4_res_1_2000.rds"
"S4","calibrated_c075","B1",0.1,"c075","B1","0.657","500",0.0095,19,2000,"declared_cal10_c075","declcalc0_inull_B1_res_1_2000.rds"
"S4","calibrated_c075","B2",0.1,"c075","B2","0.657","1000",0.0075,15,2000,"declared_cal10_c075","declcalc0_inull_B2_res_1_2000.rds"
"S4","calibrated_c075","B3",0.1,"c075","B3","0.657","1500",0.0035,7,2000,"declared_cal10_c075","declcalc0_inull_B3_res_1_2000.rds"
"S4","calibrated_c075","B4",0.1,"c075","B4","0.721","500",0.035,70,2000,"declared_cal10_c075","declcalc0_inull_B4_res_1_2000.rds"
"S4","calibrated_c075","B5",0.1,"c075","B5","0.721","1000",0.0255,51,2000,"declared_cal10_c075","declcalc0_inull_B5_res_1_2000.rds"
"S4","calibrated_c075","B6",0.1,"c075","B6","0.721","1500",0.0155,31,2000,"declared_cal10_c075","declcalc0_inull_B6_res_1_2000.rds"
"S4","calibrated_c075","max_B",0.1,"c075","B4","0.721","500",0.035,70,2000,"declared_cal10_c075","declcalc0_inull_B4_res_1_2000.rds"
"S4","calibrated_c075","C1",0.1,"c075","C1","1.5","1000",0.501,1002,2000,"declared_cal10_c075","declcalc0_power_C1_res_1_2000.rds"
"S4","calibrated_c075","C2",0.1,"c075","C2","1.5","1500",0.7225,1445,2000,"declared_cal10_c075","declcalc0_power_C2_res_1_2000.rds"
"S4","calibrated_c075","C3",0.1,"c075","C3","2","1000",0.896,1792,2000,"declared_cal10_c075","declcalc0_power_C3_res_1_2000.rds"
"S4","calibrated_c075","C4",0.1,"c075","C4","2","1500",0.982,1964,2000,"declared_cal10_c075","declcalc0_power_C4_res_1_2000.rds"
"S4","calibrated_c080","B1",0.1,"c080","B1","0.657","500",0.0035,7,2000,"declared_cal10_c080","declcalc0_inull_B1_res_1_2000.rds"
"S4","calibrated_c080","B2",0.1,"c080","B2","0.657","1000",0.0025,5,2000,"declared_cal10_c080","declcalc0_inull_B2_res_1_2000.rds"
"S4","calibrated_c080","B3",0.1,"c080","B3","0.657","1500",0.0025,5,2000,"declared_cal10_c080","declcalc0_inull_B3_res_1_2000.rds"
"S4","calibrated_c080","B4",0.1,"c080","B4","0.721","500",0.0165,33,2000,"declared_cal10_c080","declcalc0_inull_B4_res_1_2000.rds"
"S4","calibrated_c080","B5",0.1,"c080","B5","0.721","1000",0.0115,23,2000,"declared_cal10_c080","declcalc0_inull_B5_res_1_2000.rds"
"S4","calibrated_c080","B6",0.1,"c080","B6","0.721","1500",0.0035,7,2000,"declared_cal10_c080","declcalc0_inull_B6_res_1_2000.rds"
"S4","calibrated_c080","max_B",0.1,"c080","B4","0.721","500",0.0165,33,2000,"declared_cal10_c080","declcalc0_inull_B4_res_1_2000.rds"
"S4","calibrated_c080","C1",0.1,"c080","C1","1.5","1000",0.3695,739,2000,"declared_cal10_c080","declcalc0_power_C1_res_1_2000.rds"
"S4","calibrated_c080","C2",0.1,"c080","C2","1.5","1500",0.5985,1197,2000,"declared_cal10_c080","declcalc0_power_C2_res_1_2000.rds"
"S4","calibrated_c080","C3",0.1,"c080","C3","2","1000",0.833,1666,2000,"declared_cal10_c080","declcalc0_power_C3_res_1_2000.rds"
"S4","calibrated_c080","C4",0.1,"c080","C4","2","1500",0.9635,1927,2000,"declared_cal10_c080","declcalc0_power_C4_res_1_2000.rds"
"S4","calibrated_c085","B1",0.1,"c085","B1","0.657","500",0.0015,3,2000,"declared_cal10_c085","declcalc0_inull_B1_res_1_2000.rds"
"S4","calibrated_c085","B2",0.1,"c085","B2","0.657","1000",5e-04,1,2000,"declared_cal10_c085","declcalc0_inull_B2_res_1_2000.rds"
"S4","calibrated_c085","B3",0.1,"c085","B3","0.657","1500",5e-04,1,2000,"declared_cal10_c085","declcalc0_inull_B3_res_1_2000.rds"
"S4","calibrated_c085","B4",0.1,"c085","B4","0.721","500",0.0055,11,2000,"declared_cal10_c085","declcalc0_inull_B4_res_1_2000.rds"
"S4","calibrated_c085","B5",0.1,"c085","B5","0.721","1000",0.0035,7,2000,"declared_cal10_c085","declcalc0_inull_B5_res_1_2000.rds"
"S4","calibrated_c085","B6",0.1,"c085","B6","0.721","1500",0.002,4,2000,"declared_cal10_c085","declcalc0_inull_B6_res_1_2000.rds"
"S4","calibrated_c085","max_B",0.1,"c085","B4","0.721","500",0.0055,11,2000,"declared_cal10_c085","declcalc0_inull_B4_res_1_2000.rds"
"S4","calibrated_c085","C1",0.1,"c085","C1","1.5","1000",0.265,530,2000,"declared_cal10_c085","declcalc0_power_C1_res_1_2000.rds"
"S4","calibrated_c085","C2",0.1,"c085","C2","1.5","1500",0.4585,917,2000,"declared_cal10_c085","declcalc0_power_C2_res_1_2000.rds"
"S4","calibrated_c085","C3",0.1,"c085","C3","2","1000",0.7555,1511,2000,"declared_cal10_c085","declcalc0_power_C3_res_1_2000.rds"
"S4","calibrated_c085","C4",0.1,"c085","C4","2","1500",0.921,1842,2000,"declared_cal10_c085","declcalc0_power_C4_res_1_2000.rds"
"S4","conventional","max_B",0.1,,"B4","0.721","500",0.2325,465,2000,"declared_conv","declcalc0_inull_B4_res_1_2000.rds"
"S4","conventional","C1",0.1,,"C1","1.5","1000",0.6985,1397,2000,"declared_conv","declcalc0_power_C1_res_1_2000.rds"
"S4","conventional","C2",0.1,,"C2","1.5","1500",0.7905,1581,2000,"declared_conv","declcalc0_power_C2_res_1_2000.rds"
